"Address","City","State","Zip","Longitude","Latitude"
"1001 Southeast Walton","Bentonville",AR,"72712",-94.1994,36.3358
"408 West Commerce Dr","Bryant",AR,"72022",-92.5006,34.6208
"2350 Sanders Road","Conway",AR,"72032",-92.4371,35.1116
"2303 Junction City Rd","El Dorado",AR,"71730",-92.6403,33.1972
"6700 Boston St","Fort Smith",AR,"72903",-94.3590,35.3543
"4253 Central Avenue","Hot Springs",AR,"71913",-93.0714,34.4522
"4311 Warden Rd","Little Rock",AR,"72116",-92.2208,34.7950
"617 South Broadway","Little Rock",AR,"72201",-92.2759,34.7435
"1010 Breckenridge Dr","Little Rock",AR,"72205",-92.3898,34.7641
"9 Crossings Court","Little Rock",AR,"72205",-92.3982,34.7267
"200 Shackleford Rd","Little Rock",AR,"72211",-92.3943,34.7526
"4100 East McCain Blvd","North Little Rock",AR,"72117",-92.2245,34.7890
"111 East Harrell Dr","Russellville",AR,"72802",-93.1352,35.3038
"504 North Poplar St","Searcy",AR,"72143",-91.6910,35.2514
"1300 South 48th St","Springdale",AR,"72762",-94.1836,36.1739
"5102 North State Line Avenue","Texarkana",AR,"71854",-94.0430,33.4729
"2015 South Beulah  Blvd","Flagstaff",AZ,"86001",-111.6636,35.1804
"6530 East Superstition Springs Blvd","Mesa",AZ,"85206",-111.6921,33.3858
"902 West Grove Ave","Mesa",AZ,"85210",-111.8521,33.3906
"16321 North 83rd Ave","Peoria",AZ,"85382",-112.2328,33.6350
"2725 North Black Canyon Hwy","Phoenix",AZ,"85009",-112.1124,33.4795
"4727 East Thomas Rd","Phoenix",AZ,"85018",-111.9794,33.4800
"2510 W Greenway Rd","Phoenix",AZ,"85023",-112.1146,33.6257
"4929 West McDowell Rd","Phoenix",AZ,"85035",-112.1663,33.4658
"15241 South 50th St","Phoenix",AZ,"85044",-111.9736,33.3069
"4499 E State Route 69","Prescott",AZ,"86301",-112.3844,34.5512
"8888 East Shea Blvd","Scottsdale",AZ,"85260",-111.8901,33.5834
"911 South 48th St","Tempe",AZ,"85281",-111.9770,33.4203
"7001 South Tucson Blvd","Tucson",AZ,"85706",-110.9341,32.1248
"6404 East Broadway","Tucson",AZ,"85710",-110.8566,32.2209
"102 N Alvernon Way","Tucson",AZ,"85711",-110.9092,32.2239
"6020 West Hospitality Rd","Tucson",AZ,"85743",-111.0931,32.3588
"1752 Clementine St","Anaheim",CA,"92802",-117.9099,33.8043
"3232 Riverside Dr","Bakersfield",CA,"93308",-119.0424,35.3833
"8858 Spectrum Park Way","Bakersfield",CA,"93308",-119.0763,35.4404
"920 University Ave","Berkeley",CA,"94710",-122.2956,37.8684
"651 North Main St","Bishop",CA,"93514",-118.3960,37.3665
"760 Macadamia Dr","Carlsbad",CA,"92011",-117.3140,33.1063
"150 Bonita Rd","Chula Vista",CA,"91910",-117.0620,32.6474
"1515 South Coast Dr","Costa Mesa",CA,"92626",-117.9205,33.6914
"1771 Research Park Dr","Davis",CA,"95618",-121.7312,38.5408
"6275 Dublin Blvd","Dublin",CA,"94568",-121.9079,37.7062
"316 Pittman Road","Fairfield",CA,"94534",-122.1276,38.2195
"190 N 10th Street","Fowler",CA,"93625",-119.6839,36.6279
"46200 Landing Pkwy","Fremont",CA,"94538",-121.9449,37.4889
"330 East Fir Ave","Fresno",CA,"93720",-119.7833,36.8395
"2926 Tulare","Fresno",CA,"93721",-119.7801,36.7405
"5077 North Cornelia Ave","Fresno",CA,"93722",-119.8806,36.8099
"20777 Hesperian Blvd","Hayward",CA,"94541",-122.1178,37.6645
"12000 Mariposa Rd","Hesperia",CA,"92345",-117.3460,34.4689
"3945 W Imperial Hwy","Inglewood",CA,"90303",-118.3433,33.9313
"14972 Sand Canyon Ave","Irvine",CA,"92618",-117.7596,33.6759
"3 Centerpointe Dr","La Palma",CA,"90623",-118.0314,33.8604
"7700 Southfront Rd","Livermore",CA,"94551",-121.7006,37.7152
"5249 West Century Blvd","Los Angeles",CA,"90045",-118.3727,33.9456
"1390 El Camino Real","Millbrae",CA,"94030",-122.4009,37.6103
"2401 Del Monte Ave","Monterey",CA,"93940",-121.8604,36.6058
"23090 Sunnymead Blvd","Moreno Valley",CA,"92553",-117.2598,33.9396
"8465 Enterprise Way","Oakland",CA,"94621",-122.1933,37.7425
"937 North Coast Hwy","Oceanside",CA,"92054",-117.3845,33.2028
